route,total_price,total_flight_time,total_flight_minutes,leg1_flight,leg1_airline,leg1_departure,leg1_arrival,leg1_price,leg1_duration,leg2_flight,leg2_airline,leg2_departure,leg2_arrival,leg2_price,leg2_duration,leg3_flight,leg3_airline,leg3_departure,leg3_arrival,leg3_price,leg3_duration
CHS → BNA → NYC → AUS,816,8h 25m,505,CHS→BNA,Southwest,6:15 AM,6:50 AM,$195,1 hr 35 min,BNA→JFK,Delta,7:10 AM,10:41 AM,$439,2 hr 31 min,EWR→AUS,United,8:22 PM,11:41 PM,$182,4 hr 19 min
CHS → BNA → NYC → AUS,816,8h 36m,516,CHS→BNA,Southwest,6:15 AM,6:50 AM,$195,1 hr 35 min,BNA→JFK,Delta,1:48 PM,5:30 PM,$439,2 hr 42 min,EWR→AUS,United,8:22 PM,11:41 PM,$182,4 hr 19 min
AUS → NYC → BNA → CHS,816,8h 7m,487,AUS→EWR,United,8:00 AM,12:49 PM,$425,3 hr 49 min,JFK→BNA,American,3:59 PM,5:52 PM,$196,2 hr 53 min,BNA→CHS,Southwest,7:05 PM,9:30 PM,$195,1 hr 25 min
AUS → NYC → BNA → CHS,816,8h 6m,486,AUS→EWR,United,10:40 AM,3:28 PM,$425,3 hr 48 min,JFK→BNA,American,3:59 PM,5:52 PM,$196,2 hr 53 min,BNA→CHS,Southwest,7:05 PM,9:30 PM,$195,1 hr 25 min
CHS → ORD → NYC → AUS,816,9h 5m,545,CHS→ORD,United,6:00 AM,7:34 AM,$225,2 hr 34 min,ORD→LGA,Delta,10:45 AM,1:57 PM,$409,2 hr 12 min,EWR→AUS,United,8:22 PM,11:41 PM,$182,4 hr 19 min
CHS → ORD → NYC → AUS,816,9h 10m,550,CHS→ORD,United,6:00 AM,7:34 AM,$225,2 hr 34 min,ORD→LGA,Delta,12:15 PM,3:32 PM,$409,2 hr 17 min,EWR→AUS,United,8:22 PM,11:41 PM,$182,4 hr 19 min
CHS → NYC → ORD → AUS,816,7h 42m,462,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→ORD,United,1:10 PM,2:55 PM,$228,2 hr 45 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
CHS → NYC → ORD → AUS,816,7h 42m,462,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→ORD,United,3:20 PM,5:05 PM,$228,2 hr 45 min,ORD→AUS,American,8:54 PM,11:51 PM,$179,2 hr 57 min
CHS → NYC → AUS → ORD,816,9h 6m,546,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,JFK→AUS,Delta,1:29 PM,4:41 PM,$209,4 hr 12 min,AUS→ORD,American,6:39 PM,9:33 PM,$198,2 hr 54 min
BNA → CHS → ORD → AUS,816,7h 6m,426,BNA→CHS,Southwest,9:35 AM,12:00 PM,$269,1 hr 25 min,CHS→ORD,United,5:08 PM,6:45 PM,$345,2 hr 37 min,ORD→AUS,United,7:45 PM,10:49 PM,$202,3 hr 4 min
CHS → ORD → NYC → BNA,817,7h 10m,430,CHS→ORD,United,6:00 AM,7:34 AM,$225,2 hr 34 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,EWR→BNA,United,4:07 PM,5:28 PM,$408,2 hr 21 min
CHS → ORD → NYC → BNA,817,7h 16m,436,CHS→ORD,American,7:07 AM,8:47 AM,$195,2 hr 40 min,ORD→LGA,American,11:54 AM,3:09 PM,$214,2 hr 15 min,EWR→BNA,United,4:07 PM,5:28 PM,$408,2 hr 21 min
CHS → ORD → NYC → BNA,817,7h 36m,456,CHS→ORD,American,12:29 PM,2:05 PM,$410,2 hr 36 min,ORD→LGA,American,2:41 PM,6:00 PM,$278,2 hr 19 min,LGA→BNA,Delta,7:05 PM,8:46 PM,$129,2 hr 41 min
CHS → ORD → NYC → BNA,817,7h 38m,458,CHS→ORD,American,12:29 PM,2:05 PM,$410,2 hr 36 min,ORD→LGA,American,2:41 PM,6:00 PM,$278,2 hr 19 min,LGA→BNA,American,8:49 PM,10:32 PM,$129,2 hr 43 min
CHS → NYC → ORD → BNA,817,6h 48m,408,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,JFK→ORD,American,12:10 PM,2:13 PM,$208,3 hr 3 min,ORD→BNA,American,2:49 PM,4:34 PM,$200,1 hr 45 min
CHS → NYC → ORD → BNA,817,6h 46m,406,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→ORD,Delta,5:10 PM,7:09 PM,$239,2 hr 59 min,ORD→BNA,American,7:54 PM,9:41 PM,$169,1 hr 47 min
CHS → NYC → ORD → BNA,817,6h 39m,399,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→ORD,Delta,5:10 PM,7:09 PM,$239,2 hr 59 min,ORD→BNA,American,10:19 PM,11:59 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,817,6h 31m,391,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→BNA,United,3:37 PM,5:24 PM,$179,1 hr 47 min
CHS → NYC → ORD → BNA,817,6h 30m,390,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→BNA,United,6:10 PM,7:56 PM,$179,1 hr 46 min
CHS → NYC → ORD → BNA,817,6h 31m,391,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→BNA,United,8:10 PM,9:57 PM,$179,1 hr 47 min
CHS → NYC → ORD → BNA,817,6h 27m,387,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,United,9:10 AM,10:55 AM,$159,2 hr 45 min,ORD→BNA,United,10:00 PM,11:43 PM,$179,1 hr 43 min
